YBR142W
YCL054W
YCL059C
YCR057C
YDL031W
YDL060W
YDL148C
YDR060W
YDR299W
YDR365C
YDR449C
YER006W
YER126C
YER127W
YFL002C
YGL099W
YGL111W
YGL120C
YGL122C
YGR145W
YGR245C
YHR052W
YHR148W
YHR197W
YJL033W
YJR002W
YKL014C
YKL172W
YKL180W
YKR081C
YLL008W
YLR009W
YLR129W
YLR186W
YLR196W
YLR276C
YMR093W
YMR128W
YMR229C
YMR290C
YNL002C
YNL061W
YNL112W
YNL132W
YNL182C
YNL308C
YNR054C
YOL077C
YOR206W
YOR272W
YOR294W
YPL043W
YPL126W
YPL143W
YPL146C
YPL211W
YPR010C
YPR110C
YPR144C
