YAL005C
YBL032W
YBL039C
YBR084W
YDL051W
YDR101C
YDR171W
YDR258C
YDR496C
YER074W
YER131W
YGR118W
YGR162W
YGR214W
YHR064C
YJL177W
YKL009W
YKR060W
YLL024C
YLL039C
YLL045C
YLR048W
YLR406C
YLR441C
YLR448W
YLR449W
YML026C
YML073C
YMR186W
YNL064C
YNL096C
YNL175C
YNL209W
YNL248C
YNL255C
YNL301C
YOL041C
YOR234C
YPL090C
YPL106C
YPL240C
