YAL016W
YBL072C
YBL091C
YBR010W
YBR025C
YBR034C
YBR118W
YBR127C
YDL191W
YDR120C
YDR155C
YEL051W
YER107C
YGL167C
YGL206C
YJL190C
YKL067W
YLR172C
YLR234W
YLR447C
YNL064C
YNL330C
YOL093W
YOR133W
YOR312C
YPL090C
YPL091W
YPL244C
YPL259C
YPR173C
