YBL023C
YBL076C
YBR109C
YBR196C
YCL017C
YCL043C
YCR012W
YCR072C
YDL007W
YDL014W
YDL097C
YDL143W
YDL147W
YDR037W
YDR050C
YDR172W
YDR188W
YDR189W
YDR226W
YDR238C
YER043C
YER094C
YER133W
YER136W
YER148W
YFL037W
YFL038C
YFL039C
YFR004W
YGL201C
YGL238W
YGR094W
YGR195W
YHL015W
YHR027C
YHR068W
YIL078W
YIL142W
YJL008C
YJR064W
YJR068W
YLL018C
YLR060W
YLR075W
YLR259C
YLR277C
YML085C
YMR131C
YNL112W
YNL178W
YNL189W
YNL207W
YOL021C
YOL038W
YOL077C
YOL094C
YOL139C
YOR157C
YOR207C
YOR224C
YOR232W
YOR244W
YOR259C
YOR261C
YOR335C
YOR362C
YPL204W
YPL218W
YPL266W
YPR108W
