leuS
metG
plsB
proS
prs
pssA
pth
rplB
rplD
rplE
rplF
rplL
rplN
rplO
rplP
rplQ
rpoB
rpoC
rpsC
rpsG
rpsI
rpsJ
rpsK
rpsL
rpsM
rpsN
rpsP
serS
ssb
thrS
topA
trpS
tsaC
tsf
ubiB
