carB
glmM
lldD
mnmE
moaA
moeA
mutL
mutS
nadC
ndh
nuoC
nuoG
otsA
panB
panC
pepN
pepP
pgm
phoA
pnp
polA
pqqL
proA
purC
purL
rapA
recA
recQ
rlmF
rnr
rplA
rplK
sdhB
srmB
sucA
sucB
sucC
sucD
talB
tgt
thrC
tktB
tpiA
trmB
trxA
uacT
ushA
uvrD
wrbA
xthA
yadG
ybbO
ybgI
ycbX
ydfG
ydgJ
yejF
yicI
yigB
yjiA
yniA
ypeA
yqaB
yqeF
yrdA
