aspS
eno
ffh
folD
ftsH
fusA
gapA
glmS
gpsA
groS
grpE
hemB
infB
infC
leuS
metG
metK
mreB
nrdA
obgE
pgk
prfA
prs
rplB
rplD
rplE
rplF
rplL
rplM
rplN
rplQ
rplS
rplT
rplW
rpoA
rpoB
rpoC
rpsC
rpsG
rpsH
rpsI
rpsJ
rpsK
rpsL
rpsM
rpsN
rpsP
rpsS
ssb
thrS
topA
tsaD
