add
alaS
atpD
atpG
clpP
cysJ
deaD
dnaJ
dnaK
gabD
gcvP
gltA
groL
hinT
iscU
lon
lysU
mutS
nagB
nuoC
pnp
proC
purA
pykF
qmcA
recQ
rlmE
rlmF
rlmN
rluB
rluC
rnr
rpe
rplA
sdhB
serB
sucA
sucB
sucC
sucD
tgt
tig
tpiA
yadG
ybbO
ybgI
ydfG
yfiF
