YAL035W
YBL076C
YBL092W
YBR079C
YBR143C
YBR247C
YCL059C
YCR057C
YCR072C
YDL014W
YDL031W
YDL060W
YDL143W
YDR091C
YDR188W
YDR510W
YEL026W
YER025W
YER082C
YER126C
YER148W
YER165W
YFL002C
YFL039C
YFR004W
YGL099W
YGL120C
YGR103W
YGR145W
YGR245C
YHL015W
YHR088W
YHR148W
YHR170W
YIL078W
YJL008C
YJL033W
YJL125C
YJR123W
YKR081C
YLL008W
YLL011W
YLR009W
YLR075W
YLR129W
YLR175W
YLR186W
YLR196W
YLR197W
YLR222C
YLR259C
YLR276C
YLR340W
YLR409C
YMR049C
YMR093W
YMR131C
YMR146C
YMR290C
YMR308C
YMR309C
YNL061W
YNL075W
YNL088W
YNL112W
YNL132W
YNL178W
YNL207W
YNR053C
YOL010W
YOL077C
YOL139C
YOR063W
YOR145C
YOR206W
YOR207C
YOR224C
YOR272W
YOR310C
YOR361C
YPL043W
YPL093W
YPL204W
YPL211W
YPL217C
YPL237W
YPL266W
YPR010C
YPR041W
YPR110C
YPR112C
