weak_Topall,E_POC_W_rank,E_POC_rank,label
YOL021C,93,122,E_POC_W-TP
YER133W,94,123,E_POC_W-TP
YDR037W,97,152,E_POC_W-TP
YHR027C,106,125,E_POC_W-TP
YNL189W,112,140,E_POC_W-TP
YIL142W,115,141,E_POC_W-TP
YMR260C,116,128,E_POC_W-TP
YDR190C,120,132,E_POC_W-TP
YLR406C,134,107,E_POC-FP
YNL255C,229,118,E_POC-FP
