YAL005C
YAL036C
YBL027W
YBL072C
YBR034C
YDL191W
YDR012W
YDR120C
YDR496C
YEL054C
YGR085C
YHR203C
YJL190C
YJL191W
YJR070C
YKL009W
YLR406C
YMR116C
YNL064C
YNL255C
YNL301C
YOL124C
YOR133W
YOR243C
YOR312C
YPL086C
YPL090C
YPL220W
YPR102C
