acnA
aldA
aldB
apaH
blc
cadA
cheR
cho
cspE
cysI
dadX
dctR
fdx
fliI
fryA
ftsB
ftsP
gatD
gcvP
helD
hscB
hyfG
kdgR
ldcC
lhr
malK
malP
moaA
mrcA
mrcB
mutL
narH
nei
oppB
otsA
phoE
pka
ppsA
pstB
rapA
recA
recB
recE
rho
rimI
rimP
rluE
rng
rspA
rsuA
sufC
sufD
tatC
thrC
topB
torZ
trmA
ugpB
uvrB
uvrC
uvrD
wbbK
ybcJ
yciU
ydfR
ydjL
yebS
yebV
yeeR
yejF
ygaM
yhhX
yhjG
yigB
yneG
yodD
ytfL
