acpP
csrA
dnaN
groS
gyrA
holA
infC
metK
mreB
nusA
nusG
pgk
rne
rnpA
rplB
rplE
rplF
rplL
rplO
rplP
rplQ
rplR
rplS
rplT
rplW
rplX
rpmB
rpoA
rpoB
rpoC
rpsA
rpsC
rpsJ
rpsM
rpsN
rpsP
rpsR
rpsS
ssb
topA
