aceE
aidB
cbpA
clpA
cspD
dnaJ
dnaQ
dps
gatY
groL
hfq
hupA
hupB
hypD
ibpA
lon
lysU
malT
nfi
nuoC
pcnB
pflB
pnp
pykF
recJ
rlmL
rlmN
rluB
rluC
rnhA
rob
rplA
rplC
rpoD
rpoZ
rpsB
rpsE
rpsF
rpsT
rpsU
selB
smpB
tgt
tig
tufA
yacL
ybbO
ybeZ
ybgI
ybjX
yeeX
yfbU
yfiF
ygiF
yhbY
yibL
yjgA
yjjU
yncE
yqjI
