Topall,rank
chbC,519
chpS,520
chrR,521
clcB,522
clpS,523
clsC,524
cnu,525
coaE,526
codA,527
corC,528
cpdB,529
cpoB,530
cpxA,531
cpxP,532
cpxR,533
cra,534
creB,535
creC,536
csdA,537
csdE,538
csgA,539
csgB,540
csgD,541
cspI,542
cueO,543
curA,544
cusB,545
cusC,546
cusF,547
cusR,548
cusS,549
cvpA,550
cyaY,551
cydA,552
cydC,553
cydD,554
cynT,555
cyoA,556
cyoB,557
cyoD,558
cyoE,559
cysA,560
cysB,561
cysD,562
cysK,563
cysM,564
cysN,565
cysP,566
dadA,567
dam,568
damX,569
dauA,570
dctA,571
dcuD,572
dcuR,573
ddlA,574
ddpA,575
ddpB,576
ddpD,577
ddpX,578
deaD,579
dedA,580
def,581
degP,582
degQ,583
degS,584
deoB,585
deoD,586
dgcF,587
dgcJ,588
dgcM,589
dgcP,590
dgoR,591
dgt,592
dhaK,593
dhaM,594
dhaR,595
diaA,596
dicB,597
dinJ,598
dmsA,599
dmsB,600
dmsD,601
dnaB,602
dnaC,603
dnaG,604
dnaT,605
dpiA,606
dppA,607
dppB,608
dppD,609
dsbA,610
dsbC,611
dsbD,612
dsbE,613
dsbG,614
dsdX,615
dtd,616
dtpD,617
ebgA,618
ebgC,619
ecpC,620
eda,621
efp,622
elaB,623
elbB,624
emrA,625
emrE,626
emrY,627
engB,628
entB,629
entC,630
entE,631
entF,632
envZ,633
epmA,634
epmC,635
erfK,636
erpA,637
eutA,638
eutH,639
eutL,640
eutQ,641
evgA,642
evgS,643
fabB,644
fabD,645
fabF,646
fabG,647
fabH,648
fabI,649
fadA,650
fadB,651
fbaA,652
fbaB,653
fbpC,654
fdnG,655
feaB,656
fecA,657
fecI,658
fecR,659
feoB,660
fepB,661
fepG,662
fes,663
fetA,664
ffh,665
fhuB,666
fhuF,667
fimA,668
fimB,669
fimD,670
fimI,671
fimZ,672
fiu,673
fklB,674
fkpA,675
fldA,676
flgD,677
flgI,678
flgK,679
flhC,680
flhD,681
fliC,682
fliF,683
fliG,684
fliH,685
fliJ,686
fliN,687
fliY,688
flk,689
flu,690
flxA,691
fmt,692
fnr,693
focB,694
folA,695
folB,696
folC,697
folM,698
folP,699
frdA,700
frdB,701
frdC,702
frdD,703
frlA,704
frlD,705
frlR,706
frmA,707
frmB,708
frmR,709
frr,710
frsA,711
