allB	-0.054	-0.173	-0.099	-0.472	-0.077	-0.205	-0.039	-0.097	-0.221
allC	0.098	-0.011	0.164	0.054	0.375	0.058	0.301	0.227	-0.63
allD	-0.35	-0.403	-0.216	-0.286	-0.008	-0.198	-0.249	-0.431	-0.293
allE	0.705	0.368	0.544	0.407	0.613	0.671	0.539	0.524	-0.449
allR	1.408	1.383	1.237	1.214	1.368	1.186	1.478	1.248	-0.093
allS	-0.058	-0.242	-0.132	-0.249	-0.275	-0.406	-0.196	-0.223	-0.16
alr	0.728	0.761	0.868	0.747	0.953	0.665	0.987	0.875	0.409
alsA	-1.821	-1.595	-1.686	-1.573	-1.727	-1.406	-1.631	-1.614	-0.172
alsB	-0.258	-0.551	-0.288	-0.556	-0.581	-0.232	-0.315	-0.282	-0.121
alsC	-0.897	-0.82	-0.463	-0.383	-0.687	-0.276	-0.287	-0.266	-0.139
alsE	-0.477	-0.231	-0.37	-0.355	-0.243	-0.511	-0.116	-0.445	-0.245
alx	-0.318	-0.449	-0.518	-0.357	-0.226	-0.22	-0.402	-0.456	0.035
amiA	0	-0.258	0.098	0.183	0.076	-0.113	-0.044	-0.033	0.315
amiB	-0.065	-0.077	0.062	-0.225	0.057	-0.323	-0.056	-0.106	-0.087
amiC	1.439	1.469	0.955	1.293	1.613	0.883	1.118	0.851	-0.837
amiD	-0.122	-0.166	-0.163	-0.04	-0.026	0.046	-0.154	-0.042	-0.61
amn	0.255	0.214	0.334	0.463	0.433	0.58	0.57	0.549	0.021
ampC	-1.35	-1.556	-1.155	-0.845	-1.244	-0.629	-1.129	-1.076	0.271
ampD	-0.777	-0.73	-0.668	-0.6	-0.756	-0.759	-0.315	-0.29	-1.254
ampE	-1.339	-1.421	-1.387	-1.049	-3.107	-2.781	-2.883	-2.404	-0.683
ampG	0.947	0.97	0.979	1.05	0.901	0.911	1.089	1.216	1.081
ampH	1.077	0.898	0.73	0.669	0.95	0.543	0.878	0.797	0.359
amtB	-0.166	-0.321	-0.136	-0.233	-0.045	0.059	-0.058	0.25	0.013
amyA	-0.314	-0.101	0.121	0.105	-0.301	0.361	0.163	0.105	0.942
anmK	-0.232	-0.208	-0.258	-0.223	-0.075	-0.124	-0.093	0.094	-0.632
ansA	1.316	1.336	1.354	1.461	1.498	1.257	1.447	1.438	0.674
ansB	-0.997	-1.029	-0.809	-0.574	-0.98	-0.211	-0.618	-0.196	-2.092
ansP	-1.88	-1.538	-1.634	-1.642	-1.775	-1.003	-1.501	-1.459	0.474
apaG	-0.634	-0.673	-0.5	-0.381	-0.384	-0.379	-0.338	-0.404	0.895
apaH	-0.627	-0.563	-0.288	-0.508	-0.383	0.052	-0.202	-0.023	0.597
apbE	-0.053	-0.215	0.046	-0.222	0.092	0.044	-0.03	0.278	0.431
aphA	-0.674	-0.765	-0.751	-0.744	-0.881	-0.465	-0.708	-0.662	-0.74
appY	1.247	0.924	1.086	1.211	1.159	1.182	1.123	1.293	0.257
apt	0.831	0.83	0.885	0.52	0.688	1.024	0.793	0.715	0.463
aqpZ	0.109	0.131	0.167	0.009	-0.276	0.302	0.336	0.222	-0.428
araA	-0.117	0.034	0.045	-0.023	0.098	0.07	0.038	0.04	-0.006
araB	0.335	0.356	0.35	0.162	0.615	0.29	0.289	0.243	0.144
araC	1.312	1.285	1.369	1.036	1.435	1.153	1.556	1.241	0.403
araD	0.327	0.114	0.275	0.137	0.441	0.478	0.304	0.348	0.386
araE	-0.811	-1.099	-1.138	-0.871	-0.873	-0.571	-0.746	-0.733	-0.11
araF	-0.561	-0.863	-1.292	-0.695	-0.928	-0.849	-0.963	-0.758	-0.425
araG	0.172	0.123	0.172	0.162	0.285	0.58	0.335	0.286	-0.248
araJ	-1.211	-1.219	-1.421	-1.007	-0.419	-1.105	-1.232	-0.918	0.102
arcA	0.249	-0.001	0.174	0.167	0.134	0.118	0.233	0.331	0.206
arfB	0.179	0.125	-0.135	-0.024	0.037	-0.064	0.176	0.161	-0.287
argA	2.885	2.746	2.337	2.14	3.782	1.45	2.451	2.527	-1.096
argB	2.297	2.108	1.769	1.766	3	1.477	1.891	2.202	0.16
argC	2.941	2.626	2.463	2.458	3.522	2.268	2.4	2.508	-2.129
argD	0.56	0.319	-0.061	0.137	1.053	-0.48	-0.085	-0.005	-0.092
argE	1.942	1.654	1.597	1.734	2.551	1.691	1.731	1.839	-0.806
argF	3.166	2.657	2.233	1.713	3.608	1.655	1.832	1.971	-2.009
argG	2.659	2.745	2.241	1.93	3.603	1.614	2.206	2.228	-1.21
argH	1.521	1.351	0.969	0.436	2.054	0.725	0.924	0.98	1.34
argI	1.846	1.592	1.081	0.936	2.578	0.413	0.922	1.068	-1.428
argK	-0.992	-1.174	-0.707	-1.101	-1.149	-0.349	-0.84	-0.722	0.035
argO	-0.207	-0.65	-0.245	-0.319	-0.231	-0.162	-0.072	-0.178	-0.107
argP	1.181	1.018	1.081	1.035	1.12	1.204	1.128	1.133	-0.364
argR	0.196	0.17	0.157	0.064	0.589	0.292	0.182	0.204	-1.598
argS	1.681	1.617	1.391	1.271	1.741	0.462	1.557	1.298	0.48
argT	1.328	1.19	1.344	0.99	1.457	1.61	1.413	1.105	0.095
ariR	-0.461	-0.287	-0.365	-0.126	0.277	-0.083	-0.262	-0.265	-2.38
arnA	-0.459	-0.429	-0.412	-0.283	-0.296	-0.152	-0.462	-0.464	0.173
arnB	-0.64	-0.675	-0.414	-0.342	-0.305	-0.357	-0.469	-0.259	-0.653
arnC	-0.607	-0.533	-0.424	-0.243	-0.221	-0.008	-0.355	-0.316	0.109
arnD	-1.039	-1.058	-1.304	-0.697	-1.017	-0.63	-1.193	-1.003	0.126
arnF	0.39	0.167	0.109	0.627	-0.038	0.521	0.177	0.558	0.066
arnT	-2.056	-2.238	-2.281	-1.671	-2.25	-1.368	-2.256	-1.672	0.096
aroA	1.454	1.424	1.248	1.176	1.442	1.332	1.489	1.312	1.486
aroB	0.545	0.543	0.608	0.375	0.743	0.55	0.679	0.456	0.227
aroC	1.107	0.969	0.853	0.712	0.96	0.903	0.846	0.822	0.336
aroD	1.699	1.371	1.319	1.27	1.279	0.991	1.366	1.084	0.376
aroE	-1.008	-1.078	-1.069	-0.941	-1.072	-0.9	-1.05	-0.923	0.87
aroF	-2.745	-2.674	-2.699	-2.662	-3.612	-2.917	-3.411	-3.095	0.749
aroG	0.551	0.448	0.5	0.456	0.048	-0.205	-0.128	0	-1.35
aroH	-0.317	-0.313	-0.193	-0.059	-0.873	-0.489	-0.518	-0.539	0.063
aroK	1.016	0.976	1.114	0.869	0.711	0.86	0.906	0.684	0.033
aroL	-1.596	-1.752	-1.769	-1.605	-2.491	-1.663	-2.069	-1.82	-0.85
aroM	-1.774	-1.157	-1.811	-1.578	-1.698	-1.721	-1.59	-1.617	-0.586
aroP	0.187	-0.027	-0.187	-0.179	-2.025	-1.192	-1.74	-1.384	-1.465
arpA	-1.296	-2.078	-1.952	-1.717	-2.011	-1.064	-1.61	-1.469	0.147
arsC	-0.362	-0.61	-0.418	-0.191	-0.191	-0.361	-0.243	-0.257	-0.011
arsR	0.355	0.244	0.29	0.002	0.361	0.159	0.435	0.254	-0.57
artJ	3.631	3.407	2.893	2.67	4.539	3.505	3.269	3.209	-2.126
