Topall,rank
rplB,1
rpoB,2
rpoC,3
rplE,4
rpsJ,5
recQ,6
sucC,7
rplN,8
mutS,9
topA,10
tgt,11
pgm,12
rpsC,13
rpsM,14
rpsG,15
sucB,16
rplL,17
rpsI,18
proS,19
tpiA,20
pssA,21
thrS,22
sucA,23
rpsL,24
metG,25
leuS,26
talB,27
rplK,28
sucD,29
nuoC,30
rnr,31
serS,32
recA,33
ubiB,34
pepP,35
trpS,36
rplD,37
purL,38
trxA,39
ydfG,40
ycbX,41
lldD,42
rapA,43
rpsN,44
rlmF,45
mnmE,46
mutL,47
sdhB,48
xthA,49
pnp,50
nuoG,51
proA,52
rplA,53
yicI,54
carB,55
ssb,56
yqaB,57
thrC,58
rplQ,59
pepN,60
moeA,61
ushA,62
tsf,63
yejF,64
phoA,65
yjiA,66
otsA,67
yniA,68
moaA,69
rplP,70
tktB,71
rplF,72
ndh,73
plsB,74
glmM,75
uacT,76
tsaC,77
trmB,78
nadC,79
ybgI,80
polA,81
srmB,82
rplO,83
panB,84
panC,85
yrdA,86
wrbA,87
uvrD,88
yadG,89
ypeA,90
yigB,91
rpmG,92
rlmN,93
msrC,94
topB,95
glsA1,96
yqeF,97
ydgJ,98
ybbN,99
pqqL,100
rplI,101
ybdR,102
ppsA,103
yfhM,104
ribD,105
rlmI,106
rplW,107
nnr,108
prfB,109
tig,110
spoT,111
rplS,112
secA,113
kdsB,114
trmA,115
ispA,116
malQ,117
yidA,118
rluB,119
selB,120
nanM,121
sufC,122
rplJ,123
rpoD,124
ybhK,125
rpsD,126
sufB,127
zntA,128
lhr,129
lpxD,130
yfiF,131
talA,132
rraA,133
rsgA,134
yaeR,135
rpoA,136
yfbR,137
hldE,138
roxA,139
menI,140
kdgK,141
pka,142
rsuA,143
pyrH,144
lolD,145
nudG,146
murE,147
prmB,148
murG,149
norV,150
sufD,151
parE,152
yfcD,153
yqhD,154
lpxB,155
rpoS,156
uspG,157
preT,158
yfjK,159
ligA,160
ftsP,161
pepD,162
rpmB,163
rlmL,164
sohB,165
pepT,166
nadE,167
recD,168
pta,169
waaA,170
yhbY,171
pdeR,172
potF,173
uspF,174
mrcA,175
recJ,176
pflB,177
tsaE,178
ytfL,179
rspA,180
ydiJ,181
ugpB,182
nikE,183
pxpA,184
nrdD,185
yafC,186
