carB
glmM
glsA1
lldD
mnmE
moaA
moeA
msrC
mutL
mutS
nadC
ndh
nuoC
nuoG
otsA
panB
panC
pepN
pepP
pgm
phoA
pnp
polA
pqqL
proA
purL
rapA
recA
recQ
rlmF
rlmN
rnr
rplA
rplK
rpmG
sdhB
srmB
sucA
sucB
sucC
sucD
talB
tgt
thrC
tktB
topB
tpiA
trmB
trxA
uacT
ushA
uvrD
wrbA
xthA
yadG
ybbN
ybgI
ycbX
ydfG
ydgJ
yejF
yicI
yigB
yjiA
yniA
ypeA
yqaB
yqeF
yrdA
