leuS
metG
plsB
proS
pssA
rplB
rplD
rplE
rplF
rplL
rplN
rplO
rplP
rplQ
rpoB
rpoC
rpsC
rpsG
rpsI
rpsJ
rpsL
rpsM
rpsN
serS
ssb
thrS
topA
trpS
tsaC
tsf
ubiB
