YAL005C
YAL036C
YBL027W
YBL072C
YBR010W
YDL191W
YDR012W
YDR120C
YDR450W
YDR496C
YEL054C
YER117W
YHR203C
YIL018W
YJL190C
YJL191W
YKL009W
YLR406C
YMR116C
YNL030W
YNL064C
YNL255C
YNL301C
YOR133W
YOR312C
YPL090C
YPL220W
YPR102C
