YBR142W
YCL059C
YDL031W
YDR060W
YDR449C
YEL026W
YER006W
YER025W
YER126C
YFL002C
YGL099W
YGL120C
YGL122C
YGR103W
YHR089C
YHR197W
YIR010W
YJL033W
YKL014C
YKL180W
YKR081C
YLL008W
YLR002C
YLR029C
YLR175W
YLR196W
YLR197W
YLR276C
YMR229C
YMR290C
YMR309C
YNL002C
YNL110C
YNL112W
YNL132W
YNL182C
YNL308C
YOL077C
YOR206W
YOR293W
YOR310C
YPL143W
YPL211W
YPR010C
YPR110C
